sympy,natural_language
"Exists(w, Implies(Q(v), h(y) == a))","There exists an w such that If Q of v, then h(y) equals a."
"Exists(z, ForAll(u, g(b, z) == b))","There exists an z such that For all u, g(b, z) equals b."
"Exists(y, Exists(x, P(u, z, a)))",There exists an y such that There exists an x such that P of u and z and a.
"ForAll(y, (~(S(u, v, b))) & (Implies(P(a, x, z), T(u))))","For all y, not (S of u and v and b) and If P of a and x and z, then T of u."
"ForAll(u, Exists(b, Implies(Implies((f(v) == a) | (m(w) == b), Implies(m(x) == u, k(z, x) == w)), Equivalent((f(a, x) == c) | (U(a)), ~(m(a) == u)))))","For all u, There exists an b such that If If f(v) equals a or m(w) equals b, then If m(x) equals u, then k(z, x) equals w, then f(a, x) equals c or U of a if and only if not (m(a) equals u)."
"ForAll(z, (T(c)) & (R(z, w)))","For all z, T of c and R of z and w."
"Implies(~(V(a, v)), (g(y) == z) & (T(u, c, y)))","If not (V of a and v), then g(y) equals z and T of u and c and y."
"Exists(w, ~(((g(b, c) == z) & (P(a))) & (Equivalent(g(u) == y, m(w, b) == u))))","There exists an w such that not (g(b, c) equals z and P of a and g(u) equals y if and only if m(w, b) equals u)."
"Exists(c, ((Equivalent(Q(b, c, a), V(x))) | ((T(b)) & (h(b, z) == a))) & (Implies(Equivalent(Q(z, c, u), h(x, z) == b), ~(g(y) == y))))","There exists an c such that Q of b and c and a if and only if V of x or T of b and h(b, z) equals a and If Q of z and c and u if and only if h(x, z) equals b, then not (g(y) equals y)."
"Exists(v, Implies(f(w) == z, P(a)))","There exists an v such that If f(w) equals z, then P of a."
~(P(v)),not (P of v).
"Exists(x, Equivalent(Implies(~(g(b) == b), (T(c)) & (R(z))), ~((h(x) == y) | (T(c)))))","There exists an x such that If not (g(b) equals b), then T of c and R of z if and only if not (h(x) equals y or T of c)."
"ForAll(y, h(a, y) == a)","For all y, h(a, y) equals a."
"ForAll(u, Equivalent(Implies(S(x, y, v), T(a, w)), (g(c, b) == b) & (T(u, x, b))))","For all u, If S of x and y and v, then T of a and w if and only if g(c, b) equals b and T of u and x and b."
"Exists(u, Implies(Implies(Implies(S(v), f(v, w) == x), Equivalent(S(w), k(x, z) == b)), (Implies(T(w, x, y), h(z) == v)) | (Equivalent(V(z, y, a), h(v) == a))))","There exists an u such that If If If S of v, then f(v, w) equals x, then S of w if and only if k(x, z) equals b, then If T of w and x and y, then h(z) equals v or V of z and y and a if and only if h(v) equals a."
"ForAll(y, (Equivalent(Q(b), R(u, w))) & ((h(y) == c) & (P(b, a, w))))","For all y, Q of b if and only if R of u and w and h(y) equals c and P of b and a and w."
"Exists(z, Implies(~(f(u, w) == u), (k(v) == z) | (f(c) == c)))","There exists an z such that If not (f(u, w) equals u), then k(v) equals z or f(c) equals c."
"ForAll(b, Exists(z, ((m(c, b) == x) & (P(y, a))) & (~(g(w, v) == w))))","For all b, There exists an z such that m(c, b) equals x and P of y and a and not (g(w, v) equals w)."
"Exists(z, Exists(w, h(b, u) == u))","There exists an z such that There exists an w such that h(b, u) equals u."
"Equivalent((k(y) == b) & (k(z, v) == w), Equivalent(Q(v, b), m(u, c) == c))","k(y) equals b and k(z, v) equals w if and only if Q of v and b if and only if m(u, c) equals c."
"Exists(w, ForAll(y, Implies(k(c, u) == z, f(w, y) == b)))","There exists an w such that For all y, If k(c, u) equals z, then f(w, y) equals b."
"(~(Implies(P(z, c, u), k(u, c) == w))) | (Equivalent((f(c) == a) & (f(c, x) == x), (V(a)) | (k(a, c) == c)))","not (If P of z and c and u, then k(u, c) equals w) or f(c) equals a and f(c, x) equals x if and only if V of a or k(a, c) equals c."
"Exists(a, Equivalent(((g(x) == y) | (W(a, z, x))) | (Equivalent(k(z, b) == c, k(u, z) == a)), Equivalent((f(b) == w) & (f(c) == v), Equivalent(W(y), m(w) == c))))","There exists an a such that g(x) equals y or W of a and z and x or k(z, b) equals c if and only if k(u, z) equals a if and only if f(b) equals w and f(c) equals v if and only if W of y if and only if m(w) equals c."
"Exists(z, Exists(u, Implies(Implies(g(v) == v, m(x) == v), Equivalent(Q(v, c, y), h(x, y) == z))))","There exists an z such that There exists an u such that If If g(v) equals v, then m(x) equals v, then Q of v and c and y if and only if h(x, y) equals z."
"ForAll(b, f(z) == b)","For all b, f(z) equals b."
"Exists(x, Equivalent(f(y, x) == z, k(b, u) == a))","There exists an x such that f(y, x) equals z if and only if k(b, u) equals a."
"Equivalent(Implies(m(y) == c, m(w, v) == v), (k(u) == c) & (P(x, y)))","If m(y) equals c, then m(w, v) equals v if and only if k(u) equals c and P of x and y."
h(v) == v,h(v) equals v.
"ForAll(y, ForAll(a, S(y, c, x)))","For all y, For all a, S of y and c and x."
"ForAll(v, Equivalent(f(v, a) == w, T(x)))","For all v, f(v, a) equals w if and only if T of x."
"(~(V(z, b, x))) & (~(g(b) == v))",not (V of z and b and x) and not (g(b) equals v).
"Equivalent(~(g(x) == a), Equivalent(k(c) == b, k(c) == u))",not (g(x) equals a) if and only if k(c) equals b if and only if k(c) equals u.
"Exists(b, Equivalent(Equivalent(Q(w, c, x), h(z) == c), (k(w) == b) | (g(x) == u)))",There exists an b such that Q of w and c and x if and only if h(z) equals c if and only if k(w) equals b or g(x) equals u.
"Exists(w, (~((f(y, u) == c) | (S(y, x, w)))) | ((~(R(x))) & ((Q(b, z)) | (Q(b)))))","There exists an w such that not (f(y, u) equals c or S of y and x and w) or not (R of x) and Q of b and z or Q of b."
"ForAll(v, S(x, z))","For all v, S of x and z."
"ForAll(b, Equivalent(U(c, z, u), P(z, y, a)))","For all b, U of c and z and u if and only if P of z and y and a."
"Exists(a, R(y))",There exists an a such that R of y.
"Exists(u, Exists(w, (((k(z) == x) & (m(v) == w)) & ((Q(w)) | (S(v, x)))) & ((Equivalent(k(z) == x, h(a) == v)) & (~(R(z, x, u))))))",There exists an u such that There exists an w such that k(z) equals x and m(v) equals w and Q of w or S of v and x and k(z) equals x if and only if h(a) equals v and not (R of z and x and u).
"ForAll(w, (~(S(a))) | (Implies(g(b) == b, g(b) == z)))","For all w, not (S of a) or If g(b) equals b, then g(b) equals z."
"Exists(v, (~(R(y, b))) | (Equivalent(S(v, z), S(y, a, b))))",There exists an v such that not (R of y and b) or S of v and z if and only if S of y and a and b.
"Exists(x, ForAll(x, g(w) == a))","There exists an x such that For all x, g(w) equals a."
"ForAll(b, m(a) == c)","For all b, m(a) equals c."
"ForAll(b, Implies(Equivalent(~(g(w) == v), (W(v)) | (W(x, b, u))), ((f(a) == w) & (k(c, u) == y)) | ((f(a) == w) | (U(z, y)))))","For all b, If not (g(w) equals v) if and only if W of v or W of x and b and u, then f(a) equals w and k(c, u) equals y or f(a) equals w or U of z and y."
"ForAll(b, Equivalent(U(v, a), f(w) == w))","For all b, U of v and a if and only if f(w) equals w."
"Exists(x, Equivalent((W(y)) & (R(v, y)), (R(b, z, a)) | (P(v, a, w))))",There exists an x such that W of y and R of v and y if and only if R of b and z and a or P of v and a and w.
"(~(U(a, w, b))) & (Implies(k(b, v) == z, S(b, w)))","not (U of a and w and b) and If k(b, v) equals z, then S of b and w."
"ForAll(c, Equivalent((T(z, c, a)) & (S(y)), Implies(T(w, z), P(w, c, y))))","For all c, T of z and c and a and S of y if and only if If T of w and z, then P of w and c and y."
"Exists(b, ~(~(g(w, z) == x)))","There exists an b such that not (not (g(w, z) equals x))."
"((W(w, y, c)) & (f(c) == y)) | (Implies(U(y, w), S(c, u, a)))","W of w and y and c and f(c) equals y or If U of y and w, then S of c and u and a."
"Equivalent(((g(w, x) == w) & (V(w, a, z))) | ((h(c, y) == u) & (k(z, a) == a)), Implies(Implies(f(y, x) == a, g(z, u) == z), Implies(T(b, c), P(z))))","g(w, x) equals w and V of w and a and z or h(c, y) equals u and k(z, a) equals a if and only if If If f(y, x) equals a, then g(z, u) equals z, then If T of b and c, then P of z."
"Exists(x, Implies((Q(v)) & (f(b, a) == v), Implies(R(x, z), k(w) == z)))","There exists an x such that If Q of v and f(b, a) equals v, then If R of x and z, then k(w) equals z."
"Exists(w, Implies(Implies(S(z, y, v), U(w, v, z)), ~(g(z) == c)))","There exists an w such that If If S of z and y and v, then U of w and v and z, then not (g(z) equals c)."
"ForAll(y, ~(S(u, y, c)))","For all y, not (S of u and y and c)."
"Exists(z, ForAll(u, (h(w, z) == b) | (T(x, y, b))))","There exists an z such that For all u, h(w, z) equals b or T of x and y and b."
"Exists(x, ~(Q(y, x)))",There exists an x such that not (Q of y and x).
"~(Q(v, x))",not (Q of v and x).
S(u),S of u.
"ForAll(y, ~(~(m(w, z) == c)))","For all y, not (not (m(w, z) equals c))."
"ForAll(u, S(v, z, a))","For all u, S of v and z and a."
"Exists(y, (Equivalent((U(a)) & (g(a) == y), Implies(U(v, x), W(y, a)))) | (Implies(Equivalent(g(v, a) == u, h(x) == b), (R(a)) | (m(z) == y))))","There exists an y such that U of a and g(a) equals y if and only if If U of v and x, then W of y and a or If g(v, a) equals u if and only if h(x) equals b, then R of a or m(z) equals y."
"ForAll(z, Implies(h(a, w) == b, m(z, b) == y))","For all z, If h(a, w) equals b, then m(z, b) equals y."
"P(y, b, w)",P of y and b and w.
"Exists(y, ForAll(x, Implies(g(y, c) == c, g(b, c) == c)))","There exists an y such that For all x, If g(y, c) equals c, then g(b, c) equals c."
"ForAll(b, ((Equivalent(R(c), g(a, z) == v)) & ((m(b, z) == c) & (h(a, w) == v))) & ((~(h(w) == a)) | (Implies(k(x, u) == u, m(y) == v))))","For all b, R of c if and only if g(a, z) equals v and m(b, z) equals c and h(a, w) equals v and not (h(w) equals a) or If k(x, u) equals u, then m(y) equals v."
"ForAll(w, Exists(x, Implies(Equivalent(Implies(m(w) == a, m(b) == y), Implies(g(w, a) == u, S(v, c, x))), Equivalent(Implies(Q(w, v, x), k(w) == y), (g(a, v) == c) | (R(b))))))","For all w, There exists an x such that If If m(w) equals a, then m(b) equals y if and only if If g(w, a) equals u, then S of v and c and x, then If Q of w and v and x, then k(w) equals y if and only if g(a, v) equals c or R of b."
"Exists(a, ~(Equivalent((k(w, y) == u) | (h(v) == u), ~(S(v)))))","There exists an a such that not (k(w, y) equals u or h(v) equals u if and only if not (S of v))."
T(z),T of z.
"Exists(u, Implies(Implies(W(x, c, a), T(y, a)), (R(u, y)) & (T(b, y, c))))","There exists an u such that If If W of x and c and a, then T of y and a, then R of u and y and T of b and y and c."
"Exists(y, Exists(x, Implies(~(Implies(k(v, x) == b, V(b, u))), Equivalent((k(v, x) == x) & (V(v, w)), (V(x, a)) | (h(u) == v)))))","There exists an y such that There exists an x such that If not (If k(v, x) equals b, then V of b and u), then k(v, x) equals x and V of v and w if and only if V of x and a or h(u) equals v."
"Exists(v, (Equivalent(Equivalent(f(v) == c, k(b, x) == x), (V(u)) | (h(y) == z))) & ((Equivalent(g(z, w) == v, U(z, a))) | (Implies(P(c), W(u)))))","There exists an v such that f(v) equals c if and only if k(b, x) equals x if and only if V of u or h(y) equals z and g(z, w) equals v if and only if U of z and a or If P of c, then W of u."
"Exists(b, ~(g(x) == c))",There exists an b such that not (g(x) equals c).
"Exists(z, S(u, v, z))",There exists an z such that S of u and v and z.
"ForAll(z, Exists(z, Implies(Implies(Equivalent(g(z, a) == z, h(b) == u), ~(g(a, u) == a)), ~(Equivalent(S(b, w), T(c))))))","For all z, There exists an z such that If If g(z, a) equals z if and only if h(b) equals u, then not (g(a, u) equals a), then not (S of b and w if and only if T of c)."
"((k(y) == w) | (Q(w, x))) | ((h(v, c) == v) & (g(b, z) == c))","k(y) equals w or Q of w and x or h(v, c) equals v and g(b, z) equals c."
"Exists(y, ForAll(y, (h(b) == a) & (f(w, b) == b)))","There exists an y such that For all y, h(b) equals a and f(w, b) equals b."
"Exists(x, Equivalent(T(u), R(a, y, b)))",There exists an x such that T of u if and only if R of a and y and b.
"Equivalent((h(w) == z) & (W(b, v)), (W(w, z, y)) & (T(w, x, c)))",h(w) equals z and W of b and v if and only if W of w and z and y and T of w and x and c.
"Equivalent(Equivalent(f(u) == z, h(y) == v), Implies(m(w) == y, W(a, b)))","f(u) equals z if and only if h(y) equals v if and only if If m(w) equals y, then W of a and b."
"(Equivalent(Equivalent(f(c) == w, R(b, y, z)), (h(z) == v) & (h(c) == y))) & (Equivalent((h(y, x) == y) & (V(x)), (h(b, v) == w) & (Q(v))))","f(c) equals w if and only if R of b and y and z if and only if h(z) equals v and h(c) equals y and h(y, x) equals y and V of x if and only if h(b, v) equals w and Q of v."
"Exists(v, W(b))",There exists an v such that W of b.
"Exists(x, Exists(b, ((h(z) == z) & (P(u))) | ((S(a, u, x)) & (k(b) == a))))",There exists an x such that There exists an b such that h(z) equals z and P of u or S of a and u and x and k(b) equals a.
"Exists(v, (Implies(Equivalent(f(x, y) == a, m(x, b) == a), Equivalent(P(a, w, v), V(b, y)))) & (Equivalent(Implies(S(b, w), g(w) == b), (k(b, z) == u) | (W(z, c, y)))))","There exists an v such that If f(x, y) equals a if and only if m(x, b) equals a, then P of a and w and v if and only if V of b and y and If S of b and w, then g(w) equals b if and only if k(b, z) equals u or W of z and c and y."
"ForAll(y, Implies(U(v), g(c) == x))","For all y, If U of v, then g(c) equals x."
"ForAll(c, ForAll(c, (h(c) == v) & (P(b, c, a))))","For all c, For all c, h(c) equals v and P of b and c and a."
"Exists(c, Q(u, w, y))",There exists an c such that Q of u and w and y.
"ForAll(a, Implies(~(Implies(g(u) == b, W(w))), Implies(~(k(u, z) == c), (V(a, b)) & (f(z, x) == c))))","For all a, If not (If g(u) equals b, then W of w), then If not (k(u, z) equals c), then V of a and b and f(z, x) equals c."
"Exists(w, f(x) == c)",There exists an w such that f(x) equals c.
"ForAll(c, ~(Implies(V(b, u, v), h(u, v) == y)))","For all c, not (If V of b and u and v, then h(u, v) equals y)."
"ForAll(a, Implies((m(z, x) == x) & (V(c, y)), (m(y, x) == y) | (m(b) == w)))","For all a, If m(z, x) equals x and V of c and y, then m(y, x) equals y or m(b) equals w."
"Exists(y, ~(W(y, z)))",There exists an y such that not (W of y and z).
"Exists(c, R(b, u))",There exists an c such that R of b and u.
"Exists(b, Exists(b, ((Equivalent(m(a, b) == b, R(b))) | (~(S(b, c, x)))) & (Implies(Implies(V(y, c, z), f(y) == w), (f(z) == a) & (h(z) == b)))))","There exists an b such that There exists an b such that m(a, b) equals b if and only if R of b or not (S of b and c and x) and If If V of y and c and z, then f(y) equals w, then f(z) equals a and h(z) equals b."
"ForAll(b, ForAll(c, (Equivalent(W(b), g(y, a) == a)) | ((W(v, y, a)) & (P(v, y, w)))))","For all b, For all c, W of b if and only if g(y, a) equals a or W of v and y and a and P of v and y and w."
"Exists(y, R(x, v, a))",There exists an y such that R of x and v and a.
"Implies(~(V(z, a)), ~(k(y, c) == y))","If not (V of z and a), then not (k(y, c) equals y)."
"Exists(y, Implies((g(w) == z) | (V(y, w)), (h(y, x) == u) & (V(y, v))))","There exists an y such that If g(w) equals z or V of y and w, then h(y, x) equals u and V of y and v."
"Exists(a, Exists(v, ~(((Q(u, z)) | (m(b, y) == c)) & ((V(c)) & (f(b) == v)))))","There exists an a such that There exists an v such that not (Q of u and z or m(b, y) equals c and V of c and f(b) equals v)."
"Exists(a, ForAll(a, (Equivalent(f(c) == y, Q(z, v))) & (Equivalent(h(b, v) == u, g(w, x) == z))))","There exists an a such that For all a, f(c) equals y if and only if Q of z and v and h(b, v) equals u if and only if g(w, x) equals z."
"Exists(z, Exists(w, P(b, y, z)))",There exists an z such that There exists an w such that P of b and y and z.
"U(u, b)",U of u and b.
"Exists(w, h(y) == v)",There exists an w such that h(y) equals v.
k(x) == u,k(x) equals u.
"ForAll(u, Equivalent(Implies(R(y, z, w), T(u)), Equivalent(T(c, b, x), f(a, c) == v)))","For all u, If R of y and z and w, then T of u if and only if T of c and b and x if and only if f(a, c) equals v."
"ForAll(u, k(w, x) == a)","For all u, k(w, x) equals a."
"(Equivalent((h(y) == x) | (f(v, u) == y), (S(y, b)) & (W(y, c, x)))) | (Implies((P(b)) & (V(y, c)), Equivalent(k(y, a) == u, k(a, y) == w)))","h(y) equals x or f(v, u) equals y if and only if S of y and b and W of y and c and x or If P of b and V of y and c, then k(y, a) equals u if and only if k(a, y) equals w."
"Exists(z, S(z, v, c))",There exists an z such that S of z and v and c.
"Exists(v, ~(R(v)))",There exists an v such that not (R of v).
"~(m(v, w) == x)","not (m(v, w) equals x)."
"Exists(b, h(u) == u)",There exists an b such that h(u) equals u.
"ForAll(v, (Equivalent(m(a, w) == z, f(u, x) == u)) & (Implies(U(a, u), g(w) == x)))","For all v, m(a, w) equals z if and only if f(u, x) equals u and If U of a and u, then g(w) equals x."
"ForAll(z, (Implies((S(u)) | (g(v) == z), (T(y)) | (R(a, y, z)))) & ((Implies(g(y, c) == z, V(w))) | (Equivalent(S(c), g(u, x) == v))))","For all z, If S of u or g(v) equals z, then T of y or R of a and y and z and If g(y, c) equals z, then V of w or S of c if and only if g(u, x) equals v."
"ForAll(w, (((m(z, w) == w) | (k(a, x) == u)) & ((S(v, a)) | (m(w) == v))) & ((Implies(P(b, w, u), k(a, w) == b)) & ((S(v, y)) & (f(c, y) == v))))","For all w, m(z, w) equals w or k(a, x) equals u and S of v and a or m(w) equals v and If P of b and w and u, then k(a, w) equals b and S of v and y and f(c, y) equals v."
"ForAll(a, ForAll(b, Equivalent(h(u, z) == c, T(w, a))))","For all a, For all b, h(u, z) equals c if and only if T of w and a."
"Exists(c, Equivalent(S(c, b), h(w) == u))",There exists an c such that S of c and b if and only if h(w) equals u.
"ForAll(a, Exists(w, g(v) == x))","For all a, There exists an w such that g(v) equals x."
"ForAll(v, ForAll(z, Equivalent((Equivalent(h(x) == z, m(a, u) == a)) & (Equivalent(W(v, y), R(x))), (~(h(u) == v)) & (Equivalent(m(z) == w, g(z) == c)))))","For all v, For all z, h(x) equals z if and only if m(a, u) equals a and W of v and y if and only if R of x if and only if not (h(u) equals v) and m(z) equals w if and only if g(z) equals c."
"Equivalent(Equivalent((m(c) == b) & (R(b)), Implies(U(b, c, u), Q(v, b, z))), Equivalent((S(z, a)) | (k(y) == a), Implies(T(y, u), k(w) == y)))","m(c) equals b and R of b if and only if If U of b and c and u, then Q of v and b and z if and only if S of z and a or k(y) equals a if and only if If T of y and u, then k(w) equals y."
"Exists(b, (f(b) == a) | (g(x, c) == v))","There exists an b such that f(b) equals a or g(x, c) equals v."
"ForAll(a, ~(Equivalent(Equivalent(g(v, z) == z, T(y)), (T(z, b, c)) | (P(c)))))","For all a, not (g(v, z) equals z if and only if T of y if and only if T of z and b and c or P of c)."
"ForAll(z, (Equivalent(S(u, w), Q(x))) & (~(S(y, u))))","For all z, S of u and w if and only if Q of x and not (S of y and u)."
"Exists(a, m(w) == w)",There exists an a such that m(w) equals w.
"ForAll(a, Q(w))","For all a, Q of w."
"Exists(y, ~(Implies(T(w), S(a))))","There exists an y such that not (If T of w, then S of a)."
"Exists(a, (U(a, z, b)) & (U(b, y, z)))",There exists an a such that U of a and z and b and U of b and y and z.
"ForAll(z, Implies(P(y), g(u, y) == x))","For all z, If P of y, then g(u, y) equals x."
"ForAll(u, (~((h(v) == w) | (h(u) == w))) | ((~(S(a, w, y))) & ((W(y)) | (R(u)))))","For all u, not (h(v) equals w or h(u) equals w) or not (S of a and w and y) and W of y or R of u."
"k(z, u) == u","k(z, u) equals u."
"Exists(a, Exists(x, (g(b, y) == w) | (g(b, a) == c)))","There exists an a such that There exists an x such that g(b, y) equals w or g(b, a) equals c."
"Exists(b, m(c) == z)",There exists an b such that m(c) equals z.
"Exists(c, Implies(Implies(R(b, u), P(x)), Equivalent(k(a, b) == v, f(a) == z)))","There exists an c such that If If R of b and u, then P of x, then k(a, b) equals v if and only if f(a) equals z."
"Equivalent(Equivalent(~(k(u) == b), Equivalent(f(v) == b, g(x) == y)), ((S(a, z, c)) & (h(c, a) == v)) | (~(g(u, a) == v)))","not (k(u) equals b) if and only if f(v) equals b if and only if g(x) equals y if and only if S of a and z and c and h(c, a) equals v or not (g(u, a) equals v)."
"ForAll(u, m(v, a) == z)","For all u, m(v, a) equals z."
"ForAll(w, Equivalent(Equivalent(Equivalent(S(x), T(a)), Equivalent(R(y, v, x), f(y, w) == x)), Implies(~(P(x, y)), (T(b, c)) | (m(w, c) == w))))","For all w, S of x if and only if T of a if and only if R of y and v and x if and only if f(y, w) equals x if and only if If not (P of x and y), then T of b and c or m(w, c) equals w."
"ForAll(b, Exists(b, (~(g(y) == c)) & (Implies(W(b, a), U(x)))))","For all b, There exists an b such that not (g(y) equals c) and If W of b and a, then U of x."
"ForAll(y, (((f(v, u) == z) | (Q(v, b))) | ((S(u, c)) & (Q(y, a, w)))) & (((h(v) == b) | (W(y, w, a))) & ((U(a, c, w)) & (g(v) == y))))","For all y, f(v, u) equals z or Q of v and b or S of u and c and Q of y and a and w and h(v) equals b or W of y and w and a and U of a and c and w and g(v) equals y."
"Exists(w, ~((m(v) == x) & (k(w, z) == c)))","There exists an w such that not (m(v) equals x and k(w, z) equals c)."
"ForAll(b, Equivalent(g(b, z) == v, U(v, y, z)))","For all b, g(b, z) equals v if and only if U of v and y and z."
"ForAll(b, Equivalent(Implies(g(u) == x, k(z, x) == c), Implies(h(a, y) == c, g(y, z) == w)))","For all b, If g(u) equals x, then k(z, x) equals c if and only if If h(a, y) equals c, then g(y, z) equals w."
"ForAll(x, Equivalent(~((P(w, y, c)) & (V(z, x))), ((U(a)) | (V(u, x, b))) & ((m(a) == y) & (h(w, x) == y))))","For all x, not (P of w and y and c and V of z and x) if and only if U of a or V of u and x and b and m(a) equals y and h(w, x) equals y."
"(Implies((W(a, v)) | (U(y)), Equivalent(W(y, c), Q(z, c, x)))) & (~(~(R(y, v, a))))","If W of a and v or U of y, then W of y and c if and only if Q of z and c and x and not (not (R of y and v and a))."
"Exists(c, h(a) == x)",There exists an c such that h(a) equals x.
"ForAll(y, Exists(z, ~(((m(y) == x) | (R(v))) & (Equivalent(U(v, z, w), f(v, a) == z)))))","For all y, There exists an z such that not (m(y) equals x or R of v and U of v and z and w if and only if f(v, a) equals z)."
"Exists(w, Implies((U(c, z, u)) | (V(a, x)), ~(Q(c, a, x))))","There exists an w such that If U of c and z and u or V of a and x, then not (Q of c and a and x)."
"Exists(y, ~(Implies(f(a) == u, R(c))))","There exists an y such that not (If f(a) equals u, then R of c)."
"Implies(Implies(m(x) == z, g(c, a) == b), ~(R(z, a, v)))","If If m(x) equals z, then g(c, a) equals b, then not (R of z and a and v)."
"ForAll(b, Exists(c, (Implies(k(b) == w, h(c, u) == v)) & (Equivalent(f(y) == u, P(y, v, b)))))","For all b, There exists an c such that If k(b) equals w, then h(c, u) equals v and f(y) equals u if and only if P of y and v and b."
"ForAll(a, Equivalent(Implies((P(u, x)) | (m(u, x) == b), (g(x, a) == b) & (Q(w, u))), (Implies(V(u), m(b) == b)) | (~(h(w, y) == x))))","For all a, If P of u and x or m(u, x) equals b, then g(x, a) equals b and Q of w and u if and only if If V of u, then m(b) equals b or not (h(w, y) equals x)."
"ForAll(z, ((Implies(f(x, z) == v, k(v, w) == a)) & (~(k(z) == w))) & ((Implies(S(v), V(a))) & ((S(b, v, x)) | (k(z, w) == a))))","For all z, If f(x, z) equals v, then k(v, w) equals a and not (k(z) equals w) and If S of v, then V of a and S of b and v and x or k(z, w) equals a."
"Exists(u, Implies(Equivalent(U(a), W(v, c)), ~(g(c) == z)))","There exists an u such that If U of a if and only if W of v and c, then not (g(c) equals z)."
"Exists(y, Exists(w, Implies((Implies(R(u), V(x))) | ((P(u, y)) | (V(c, v))), ((f(y, v) == w) & (k(w) == x)) | (~(g(b, v) == y)))))","There exists an y such that There exists an w such that If If R of u, then V of x or P of u and y or V of c and v, then f(y, v) equals w and k(w) equals x or not (g(b, v) equals y)."
"Exists(u, Exists(u, R(w, c, b)))",There exists an u such that There exists an u such that R of w and c and b.
"ForAll(x, ForAll(c, ~(~(Equivalent(S(u), f(c) == w)))))","For all x, For all c, not (not (S of u if and only if f(c) equals w))."
"ForAll(v, (m(w, b) == y) | (V(c, x)))","For all v, m(w, b) equals y or V of c and x."
"ForAll(z, S(a, b, w))","For all z, S of a and b and w."
"Exists(w, (Implies(Implies(m(u, z) == x, P(c, b, v)), (T(c, y)) | (P(c)))) & (~(~(g(x, u) == u))))","There exists an w such that If If m(u, z) equals x, then P of c and b and v, then T of c and y or P of c and not (not (g(x, u) equals u))."
"ForAll(v, ForAll(v, g(v, w) == x))","For all v, For all v, g(v, w) equals x."
"Exists(v, V(v, u, a))",There exists an v such that V of v and u and a.
"ForAll(v, (g(u, a) == w) | (f(z, b) == z))","For all v, g(u, a) equals w or f(z, b) equals z."
g(a) == u,g(a) equals u.
"Equivalent(((R(x, y, u)) | (f(x) == x)) | (Equivalent(g(x) == y, R(b))), Equivalent(Implies(T(c), P(y)), ~(g(u) == x)))","R of x and y and u or f(x) equals x or g(x) equals y if and only if R of b if and only if If T of c, then P of y if and only if not (g(u) equals x)."
"Exists(v, Exists(b, Implies((f(z, y) == u) & (h(w) == y), Implies(V(c), m(a) == z))))","There exists an v such that There exists an b such that If f(z, y) equals u and h(w) equals y, then If V of c, then m(a) equals z."
R(w),R of w.
"ForAll(a, (Equivalent((V(v)) | (U(z)), Equivalent(h(a, b) == a, S(a, c, v)))) | (((f(c, u) == y) | (f(x) == w)) & ((U(z, v)) | (g(u, c) == u))))","For all a, V of v or U of z if and only if h(a, b) equals a if and only if S of a and c and v or f(c, u) equals y or f(x) equals w and U of z and v or g(u, c) equals u."
"ForAll(u, ~(~(R(x, z))))","For all u, not (not (R of x and z))."
"Exists(b, V(z, c, u))",There exists an b such that V of z and c and u.
"ForAll(c, ((Equivalent(Q(z, x), R(c, z, x))) | ((m(c, v) == u) | (Q(c, a)))) & (Implies(~(g(b) == b), Implies(k(x) == w, Q(y, c)))))","For all c, Q of z and x if and only if R of c and z and x or m(c, v) equals u or Q of c and a and If not (g(b) equals b), then If k(x) equals w, then Q of y and c."
P(v),P of v.
"Exists(a, ForAll(w, (T(y)) & (W(x, c, z))))","There exists an a such that For all w, T of y and W of x and c and z."
"ForAll(b, (h(y) == w) & (R(x, a, u)))","For all b, h(y) equals w and R of x and a and u."
"Exists(b, S(u, z, a))",There exists an b such that S of u and z and a.
"(m(x, a) == u) & (W(y))","m(x, a) equals u and W of y."
"ForAll(b, Implies(Implies(Q(b, w), R(y, v)), Implies(W(v), h(z, y) == b)))","For all b, If If Q of b and w, then R of y and v, then If W of v, then h(z, y) equals b."
"((h(a) == c) | (f(u) == c)) & (Equivalent(k(a) == y, k(w) == b))",h(a) equals c or f(u) equals c and k(a) equals y if and only if k(w) equals b.
"Exists(u, k(a) == w)",There exists an u such that k(a) equals w.
"~(Equivalent((g(w) == x) & (V(b, u)), Implies(V(v, c, w), R(y))))","not (g(w) equals x and V of b and u if and only if If V of v and c and w, then R of y)."
"Exists(x, ForAll(w, ((Equivalent(g(y) == a, g(w) == a)) & (Implies(V(w, a, b), S(y, z, b)))) | (Implies((U(y, a)) & (m(b) == z), ~(R(a, u))))))","There exists an x such that For all w, g(y) equals a if and only if g(w) equals a and If V of w and a and b, then S of y and z and b or If U of y and a and m(b) equals z, then not (R of a and u)."
"Equivalent(Equivalent(W(b, a, u), h(c, w) == y), (R(c, a, u)) & (k(y, c) == y))","W of b and a and u if and only if h(c, w) equals y if and only if R of c and a and u and k(y, c) equals y."
"Exists(c, m(v) == a)",There exists an c such that m(v) equals a.
"Exists(u, ~(Implies(Equivalent(k(a, x) == w, h(v, a) == u), ~(U(c)))))","There exists an u such that not (If k(a, x) equals w if and only if h(v, a) equals u, then not (U of c))."
